Crop Number,Variety,GB Grade,Area (ha),County,Producer,Organic
164352,CARA,S,9.5,Kincardine,Sootywells Farms,No
164355,CARA,SE,7,Kincardine,Sootywells Farms,No
164356,DESIREE,S,2,Kincardine,Sootywells Farms,No
164358,DESIREE,S,9.3,Kincardine,Sootywells Farms,No
164360,MARIS PIPER,S,2.5,Kincardine,Sootywells Farms,No
164381,ALEX,E,0.2,Angus,Greenvale AP,No
164383,ATLANTIC,S,0.1,Angus,Greenvale AP,No
164385,ALEX,S,0.1,Angus,Greenvale AP,No
164392,INTERNATIONAL KIDNEY,S,0.1,Angus,Greenvale AP,No
164394,INTERNATIONAL KIDNEY,S,0.3,Angus,Greenvale AP,No
164409,HERMES,S,2,Perth,Cygnet PEP Ltd,No
164435,GEMSON,S,0.5,Ross,Grampian Growers,No
164436,MARIS PIPER,S,3,Moray,James Taylor & Son,No
164437,GEMSON,S,2.3,Ross,Grampian Growers,No
164438,ARCADE,S,0.1,Moray,Mercian Limited,No
164439,MARIS PIPER,S,0.5,Moray,James Taylor & Son,No
164441,VR 808,S,1.2,Moray,Stet Potato Ltd for Saltire Seed Ltd,No
164442,VALOR,SE,3.3,Angus,Caledonia Potatoes Ltd,No
164443,VALOR,SE,1,Angus,Caledonia Potatoes Ltd,No
164444,DAISY,S,8.4,Kincardine,McCain Potatoes,No
164445,ROYAL,S,3.3,Kincardine,McCain Potatoes,No
164446,INNOVATOR,S,10,Kincardine,McCain Potatoes,No
164448,CARA,SE,5.5,Aberdeen,Fortrie Farms Ltd,No
164449,CARA,SE,4.6,Aberdeen,Fortrie Farms Ltd,No
164450,MARIS PEER,S,3.7,Angus,McEwan Potatoes Limited,No
164451,DESIREE,SE,6,Angus,McEwan Potatoes Limited,No
164457,WILJA,S,1,Angus,S E Wilja Growers,No
164458,WILJA,SE,2.2,Angus,S E Wilja Growers,No
164459,WILJA,SE,3,Angus,S E Wilja Growers,No
164460,ROOSTER,S,0.4,Aberdeen,IPM Potato Group Ltd,No
164461,ELECTRA,S,1.1,Aberdeen,IPM Potato Group Ltd,No
164462,ROOSTER,SE,3.8,Aberdeen,IPM Potato Group Ltd,No
